mlb_id,player_name_fg,team,season,ip,g,gs,era,fip,xfip,siera,xera,whip,k_pct,bb_pct,k_minus_bb_pct,swstr_pct,csw_pct,c_plus_swstr_pct,hr_fb,gb_pct,lob_pct,barrel_pct,hard_hit_pct,avg_ev,stuff_plus,location_plus,pitching_plus,pb_stuff,pb_command,pb_xrv100
668964,Tobias Myers,MIL,2024,138.0,27.0,25.0,3.0,3.912856589883998,3.9702576405760173,3.9921065480069458,4.123284249958439,1.173913043478261,22.32,6.33,0.1599297,9.38,,25.69,0.1125,37.56,81.1,7.73,38.4,89.72423475615832,91.22824772142384,102.05567704638614,93.69658785866174,41.05731613098005,52.24488189967488,0.2593241987923827
622663,Luis Severino,NYM,2024,182.0,31.0,31.0,3.9065934065934065,4.210435822245839,4.121125778089185,4.218684008499139,3.8467426389861203,1.2417582417582418,21.16,7.88,0.13272011,9.44,,24.1,0.122994652,45.96,73.73,5.67,35.35,87.0635838150289,108.60634975711308,95.53164469118664,101.8852047189452,52.45227163554634,54.33464033886583,-0.15686273513139695
661563,Luis Gil,NYY,2024,151.2,29.0,29.0,3.501099135923223,4.1357106125284275,4.357417141033389,4.223043243113402,3.756296066247782,1.1934066734502888,26.84,12.09,0.14756672,11.67,,27.04,0.101694915,35.62,78.75,9.45,37.27,89.28759894459102,105.62817293233083,91.9608646616541,102.18914285714288,65.95426132408102,42.94431501125281,0.10558410352588146
621381,Matt Strahm,PHI,2024,62.2,66.0,0.0,1.8670214660138744,2.2888201147789995,3.1479785280435646,2.371325891962523,2.483135638190294,0.7500000760910436,33.33,4.64,0.28691983,12.72,,29.2,0.057142857,31.43,82.28,7.09,37.59,89.20428292410715,115.10006066734073,101.07629929221434,111.29842264914052,52.89990120545073,64.65161064989516,-0.8827790461215933
656546,Jeff Hoffman,PHI,2024,66.1,68.0,0.0,2.1708544378121104,2.5182385225542343,2.801181328141988,2.394337756721309,2.928357682004927,0.9648241945831602,33.58,6.04,0.2754717,16.87,,31.94,0.09375,37.58,80.2,7.64,42.04,88.27179737580128,114.90598726114642,98.70647861692443,110.0605095541401,66.18339017154392,51.9929365691221,-0.49070167507568113
680570,Grayson Rodriguez,BAL,2024,116.2,20.0,20.0,3.857142941221901,3.6636226462695065,3.573322863378851,3.613266514823055,3.7335579017860616,1.2428571699492792,26.48,7.33,0.19144603,13.57,,29.64,0.122950819,40.62,75.97,7.81,39.69,89.18562622070313,107.68981549815499,105.60374275171323,112.77544544016867,58.79116201170836,58.89178525811602,-0.8235519372006385
601713,Nick Pivetta,BOS,2024,145.2,27.0,26.0,4.139588389771652,4.06579334223687,3.4976026633627244,3.305198365101914,3.43740227356557,1.1258582021932853,28.91,6.05,0.22857143,11.31,,27.43,0.150537634,33.51,75.52,10.1,38.86,89.38955600828166,102.78113221790605,106.99990991257756,108.60930283601922,54.16626838344227,61.11720457952069,-0.5475745403050108
666157,Nick Lodolo,CIN,2024,115.1,21.0,21.0,4.760115816860124,3.9468266335127664,3.949817455871678,3.7827932812484844,3.673339399162138,1.1965318446752227,24.75,7.51,0.17241379,11.85,,29.17,0.116071428,44.73,68.21,8.23,37.97,89.21246006389777,104.2248762109796,96.82539289558666,96.90437029063507,49.69885626809653,51.87323856300267,-0.28021039142091153
678394,Brayan Bello,BOS,2024,162.1,30.0,30.0,4.490759894298887,4.189067079323561,3.8690408951852655,4.128617416888091,4.5164932712522265,1.3613963465570014,21.79,9.12,0.12678063,11.39,,28.12,0.147286821,50.85,72.05,7.38,41.14,88.52675490976645,97.39766444937176,107.32634146341464,106.57946045824097,54.51364600810912,54.23354858459271,-0.1526205197198673
592866,Trevor Williams,WSN,2024,66.2,13.0,13.0,2.0250000772476224,2.79147976398468,3.816768755722639,3.9571346158299097,3.2446411383440923,1.0350000394821182,22.69,6.92,0.15769231,9.4,,25.38,0.042253521,45.36,80.25,6.56,39.34,89.42692415006869,89.73145557655955,103.42077504725901,94.2631001890359,50.26218986842105,59.84760955827068,-0.12164485902255635
